isophoton_pT	deltaR_jet12	inv_mass	jet1_Eta	jet2_Eta	isophoton_Phi	jet2_Phi	label
19.0611	3.0038890923149943	123.59113817850537	1.11429	1.74965	-0.431804	-1.97337	0
23.2127	3.1742269363421385	96.3762811968168	0.60761	1.30108	1.44239	-1.09224	0
19.3143	3.0505582889038525	126.53561401573673	-1.82639	-1.32361	-1.40483	-1.28842	0
38.1033	2.969568972005533	146.50194613668413	-0.539605	1.35732	1.35674	2.56763	0
11.3399	3.1846438576610474	151.96181976839117	-1.3719	-0.0488768	-2.79765	1.81115	0
23.0782	3.6699829722069013	131.1212747794194	0.800182	-1.32171	-2.43537	-2.778	0
12.169	0.9391167430878447	57.40761944694363	0.237575	-0.414965	0.639665	2.90989	0
30.2672	1.5963459739171955	111.81542521470996	0.0952008	-1.45762	-2.39145	0.535343	0
12.799	3.297884616452492	147.89072031547178	-1.13957	0.345375	0.434443	2.08918	0
10.1582	0.7123849696400115	55.39500094793302	-1.3488	-0.796963	1.21086	-2.35825	0
60.5292	0.8238957401273539	123.08842023752703	1.96731	1.58326	-1.08593	1.65385	0
17.0207	3.249128955538084	82.54136295432976	-0.426996	-1.3502	-2.33587	-1.76753	0
77.2035	0.8301171416599662	156.3621746724811	-0.673144	-0.52316	-0.0303044	2.4507	0
32.0927	2.5505847702407385	133.82020646225862	2.25649	1.9977	-3.10492	1.60523	0
25.7078	0.5904322104661976	125.90276588579727	-2.26182	-1.68715	2.53719	-1.13243	0
14.9921	2.771104504094455	138.68642479816083	2.14413	1.64748	1.11265	-0.70393	0
12.257	3.0994832402797456	73.11422300422744	-0.299397	-0.705185	2.6401	2.05469	0
68.5833	2.4846701840373098	173.48445101282334	0.158152	-2.13021	-1.15856	2.39121	0
36.3327	3.934249530485452	186.6569858311095	0.648075	-1.94481	-0.171181	1.74479	0
21.3715	3.058882680959748	93.4606514586427	1.48756	2.17803	-0.676016	-1.34124	0
16.7284	2.995071712166672	147.95685834656902	0.109579	1.33384	-2.44665	1.28637	0
34.2655	1.7871272827297444	108.80610673265566	-0.013849	-1.44836	3.13706	0.176356	0
38.8955	2.989220231935478	162.35871148269771	1.11245	2.32614	-2.14627	-3.05798	0
41.4713	3.5025400486646827	179.32882855715056	-1.24838	1.30707	-2.54782	1.28413	0
39.5168	2.381387489861227	127.19458247107147	1.63871	0.0509438	2.00419	2.80619	0
18.1314	2.8728717451801193	131.58479099143602	-0.25122	-0.983151	1.66454	-0.905516	0
34.701	2.9606495326995392	120.1742121628742	1.65044	0.332333	-2.62819	3.04516	0
121.935	2.835422613687695	330.48843463758305	0.993097	-1.46272	-0.306987	-2.42493	0
70.0818	1.6957008983992246	195.50950813320435	-0.590302	-1.70426	0.0929732	-2.42706	0
11.625	3.064167465957704	92.57052346423782	-0.661509	-2.04283	0.396975	2.05589	0
18.9625	3.2791745910415004	158.8604219341089	1.59738	-0.250146	-0.097845	2.70746	0
53.8613	2.45597918444131	155.3000325898227	-0.357989	0.542958	-1.36868	0.53184	0
70.6252	2.785708250140348	197.99776733843376	-1.02937	1.69845	-1.20221	1.59356	0
10.3362	3.2557255563877003	113.4281788132589	-0.507426	1.03057	0.734046	0.4887	0
28.7514	2.825748862977919	103.04401802321955	1.47844	1.65123	-1.55153	-0.958401	0
108.925	2.1307956123338063	383.9451419094545	-1.35931	0.698419	-1.28489	1.47615	0
10.6337	2.5332088444157144	119.43278813855055	0.748389	1.70529	1.9506	1.78937	0
34.239	3.2933913802834	120.25542531664799	-0.890723	0.295639	2.55437	-2.28742	0
18.8002	4.227161185651193	149.88557225336902	1.00592	-1.92157	-3.02219	2.89766	0
50.296	2.260068562182351	117.57950427645586	-0.50595	0.771936	-1.0973	0.929247	0
79.1178	3.2968240374870814	299.1149380485535	1.84594	-1.19795	-0.859138	-2.71552	0
20.974	3.7611499608535763	191.21721980109427	0.935697	-1.72613	-2.66457	-2.94377	0
19.8195	3.962418474891923	267.49721882323024	-2.19347	0.561044	-0.588546	-1.44833	0
34.2699	3.379346571779817	321.3571595151382	-1.32816	0.708106	1.31313	-2.8348	0
21.9157	2.5174873542649623	116.84621204436456	-0.92566	0.13934	3.04713	-1.61633	0
117.567	2.2377152225991783	316.75138159073197	-0.0670353	1.80551	1.41494	-1.03622	0
16.2472	3.3019046865480517	122.7296155758972	0.346892	1.91583	-2.53447	2.46614	0
25.007	1.8568498327188445	92.92562861573981	0.183686	0.476218	1.81889	0.221842	0
12.279	4.402300948969755	152.21672840387288	2.26327	-1.0492	1.722	1.08701	0
13.6048	3.3982383364710196	176.18336920550982	0.0605549	-1.32289	1.92506	-2.48467	0
68.8641	3.2721128930195853	309.67033241830194	-0.748213	1.77243	-1.26416	0.572126	0
36.1411	0.6521907129674573	102.4144072831084	0.868092	0.722883	-0.342927	2.33897	0
31.9768	1.1166286112960746	90.24472916531526	-1.57761	-0.691952	-2.82198	0.812141	0
57.1987	3.483511296703371	184.54058087558553	1.80011	-0.674708	2.79211	0.868776	0
14.7588	2.8964743721378956	80.34012552245296	-0.149291	0.173112	-1.29224	-2.12173	0
19.7307	2.7950253161030583	155.04236706933335	-0.072446	0.379013	-2.6579	2.29488	0
11.0355	3.4449193792946255	202.12239757971878	-0.711409	1.23797	2.86142	-2.30649	0
53.8716	2.901982998114565	174.93898060440387	-0.778585	-2.05103	3.0832	2.34965	0
24.5653	3.8480554413173778	150.5562324294302	2.05211	-0.378973	1.86278	1.91967	0
35.0283	2.819753072737062	152.58935709009194	-0.343285	-0.504594	-1.83342	-2.36648	0
28.674	3.0053496538136772	112.13610645913069	-1.265	-0.168206	-0.255549	1.87592	0
14.1441	2.535116838864863	96.13083171750883	-0.479105	-0.293119	-0.99638	-2.22223	0
20.7175	0.5351880945051003	104.65888252995974	2.41644	2.14906	-1.40893	2.46001	0
21.9879	3.077897891403346	91.38095201540548	0.736123	0.701514	-0.0134377	3.09973	0
16.4904	4.412769803878851	212.5112676382143	0.82584	-2.44608	-2.61352	0.992805	0
52.1635	3.19956673000658	215.69597314263896	-0.360508	-2.17091	-1.9141	0.394989	0
18.237	2.880680215579126	105.55339138172634	0.304659	-0.984891	-1.97672	-0.508897	0
18.4898	3.002276431878881	123.64842363122065	-1.34627	-0.531936	1.975	0.700108	0
11.7669	4.759363958104066	240.95906142095572	1.84545	-1.81714	-0.976728	-1.52601	0
23.1864	2.503832523782092	276.5874746065519	-0.26536	1.89501	-0.241022	-1.79991	0
27.6632	3.6829345069962893	178.0410690347008	-0.836782	1.6763	1.0723	1.67377	0
33.8817	2.300313954709496	171.21953431512276	0.0989132	-1.40998	2.1398	-0.280075	0
18.955	4.011643921963289	161.48719245532445	1.20822	-1.8584	-0.758653	0.428395	0
14.6194	2.738515246859875	84.72971077191514	-1.10321	-1.0465	2.52158	-0.767468	0
10.386	3.29753555366646	79.82548181881897	0.16552	-0.903354	-1.45524	-0.0360703	0
24.077	3.0528559796393377	181.00042880463033	-1.6369	-2.03426	2.21658	1.28405	0
11.0181	2.658483452424222	101.51705972147043	2.2445	0.955535	-0.824563	-0.0527729	0
14.9559	2.8255784136283877	80.869222745654	-0.249549	-0.753198	-0.146603	2.54734	0
121.802	0.8625986655618012	317.7336953202062	0.13868	0.658457	0.725474	-2.81609	0
33.578	2.717122057790265	242.61672924935354	0.110059	-0.0785888	-0.592115	1.44129	0
54.4383	3.398186992841453	198.16170106586722	1.55168	-0.0118672	2.46305	2.19902	0
93.0952	1.5602346959672444	303.0168795213822	-0.154965	0.831805	-1.00935	1.47125	0
28.0067	1.1691502451272036	80.28974239812952	0.46272	0.531929	1.11272	-1.07653	0
22.0497	3.8042897556906734	188.91260430998244	-1.28791	0.948468	2.19905	2.71586	0
19.2339	3.041763134376015	136.5865350222455	-1.12575	0.504243	-1.35009	1.87932	0
40.3468	3.8125089849884843	192.56760813659395	1.53258	-1.01148	0.110238	0.600576	0
18.985	3.2026409409854013	161.73352624958594	0.0258298	1.84726	3.0177	2.59593	0
41.5205	1.6384945133692086	118.6792635987939	1.52542	0.957899	1.12485	-1.44251	0
26.8385	3.3485087746303708	106.56981171198343	1.76827	0.489998	1.35883	0.920035	0
13.8747	3.1489793560688626	181.28218180293285	-0.364699	1.28155	0.81595	0.982848	0
47.3928	1.019718023812387	153.3457898811089	-0.889139	-0.0265318	3.12012	0.3931	0
18.2559	3.0300639217358105	82.12421498392722	-0.278021	-1.91597	2.30498	2.80037	0
14.5831	3.3053828959879845	107.21295985625572	1.14397	-0.379149	-0.310597	-0.425954	0
30.2237	2.5750864059414873	93.74997502879467	2.37171	1.87601	0.457383	-1.37997	0
93.1273	2.370343341622053	330.65709266209853	-0.99913	0.275354	-1.96884	1.49349	0
28.5023	2.499584514551368	84.68059049667448	0.454629	1.1976	-1.5806	-0.257422	0
50.5073	4.487401948836877	235.852887003582	-0.911325	2.31947	2.08088	1.8102	0
17.0146	1.670966957252671	105.789037445871	0.0306095	0.203679	2.26123	2.85782	0
70.9712	2.263134280513642	205.79999920573616	0.400084	-0.695346	1.73477	0.344386	0
