isophoton_pT	deltaR_jet12	inv_mass	jet1_Eta	jet2_Eta	isophoton_Phi	jet2_Phi	label
37.8202	1.5282684993505689	90.21762513276815	-0.0143928	-0.115036	2.49454	-1.73382	1
33.6836	1.8642745597751957	86.37933028049649	1.30359	0.691798	-2.77242	1.31142	1
36.5321	1.9026074553333383	104.95613426131463	-0.787717	-0.61519	2.54396	-1.41727	1
14.3928	1.9037988052472934	89.161722360347	-0.952813	-0.061371	1.11012	-1.78392	1
29.8721	1.8491359774211447	96.84853326863754	1.87115	2.2687	0.0835122	-1.66532	1
20.6198	2.0694368279843123	108.13378860372782	0.892856	2.09205	-1.56625	-2.51157	1
24.5172	1.2819519210157608	92.29413415742304	-1.81533	-1.55911	2.49808	-0.421844	1
24.7989	3.9166920714308397	357.5266121224124	-1.73541	0.64749	-2.76651	2.37591	1
33.6568	3.1904905002466313	150.90698419208434	0.31667	1.32786	-0.48112	-0.699088	1
23.9139	1.4016013239163265	84.80124677977618	-0.744108	-0.49101	-1.61084	1.21714	1
27.1061	2.424482243978083	141.47390053718175	-0.197405	0.319957	2.53652	0.730329	1
20.1531	1.7098999404031519	94.57732724455	0.00802905	-0.248898	-3.04158	1.21467	1
35.2261	2.1488685599098423	110.56186118257224	1.91471	1.39375	0.992576	-0.922377	1
31.4033	0.5301048055715022	85.02555256846965	-0.67095	-0.573299	-1.57356	0.916917	1
53.6683	2.2685291046539997	142.22568887524318	-1.73521	-0.858149	1.37868	3.01317	1
34.4404	2.6174061159225936	127.38941330241182	-0.13803	0.732105	0.506334	-3.07156	1
21.2892	3.072023441521634	125.01059398499429	2.09199	1.2483	0.239385	-2.41937	1
39.6798	1.7745837930974127	107.54568649260416	0.509579	-0.287939	0.85807	-2.97433	1
48.7801	1.3769104963900158	110.34583448593379	-1.40377	-0.95294	-2.77293	-0.390526	1
28.6367	1.5006756075001686	84.27597194628966	-0.597177	-0.583252	2.67229	-1.22129	1
31.7726	1.8871402812072053	101.95155192857243	0.434487	0.928782	0.660595	-2.16354	1
35.098	1.9677157693221858	100.06715458296003	1.74008	1.67458	0.561101	-2.05042	1
24.9484	1.3630405723048011	100.36638619197966	-1.56232	-0.874777	-1.01878	2.70234	1
25.9329	1.717485520628631	99.02557275071678	-0.890688	0.397999	0.359216	-3.10601	1
34.1245	1.709729850480854	96.73948470114313	0.489777	1.15527	-0.929864	-2.92981	1
21.0007	2.14905891750488	120.79963052118785	-1.23796	-0.846393	-0.346704	1.76031	1
32.4563	2.3166470750723605	79.55034124737871	-0.513906	-0.937908	1.04574	2.94711	1
27.0137	2.0849743706856545	92.33480951250779	0.317845	-0.259949	-0.147148	-2.38529	1
30.2752	2.6843465949239866	120.38458661182334	-0.756448	0.457968	0.319141	-2.25735	1
33.1964	1.4776424363427711	87.55246029539722	-1.99383	-0.966621	1.11479	-2.49196	1
41.4956	2.5595425777464613	122.39194977783104	-0.686554	-2.07617	1.81395	-2.613	1
29.638	2.472345892377521	87.67905835703709	-1.72507	-1.02831	-0.276949	0.749126	1
39.32	1.6867272862762965	106.95323279701228	-1.56585	-0.893188	1.37135	-2.27365	1
33.6497	2.1354141436550433	112.90692847468485	-0.495497	-0.189878	-1.25748	2.42295	1
34.9752	1.8401938206528679	101.50815492284352	-1.49282	-1.62982	1.341	-2.7954	1
24.2536	1.7597215839242866	100.8466984211575	-2.00425	-1.40301	-2.56439	1.40499	1
27.0347	2.0003827229057944	138.88556405605988	1.56796	1.11926	1.22139	-2.57592	1
48.6471	1.0721329626279605	103.69007631995986	0.36773	0.968256	0.0794726	-2.50442	1
39.897	3.35594829690084	234.0731456839701	0.561517	-1.27181	1.16662	1.96808	1
24.516	1.0990130043361632	87.25488718106276	-1.84781	-1.78232	0.819483	-1.0484	1
17.7924	2.64661876871226	111.65655759804491	2.48954	2.45399	-2.35104	-1.37308	1
25.7938	1.5790548264705695	90.00012769348662	-2.20798	-1.91677	-1.1715	1.43461	1
23.9228	2.2677686528091625	92.24602843690144	-0.706628	-0.678589	0.0298552	2.51973	1
20.4331	2.856495849851921	131.821204323691	0.0258255	-0.78321	-2.69073	0.838481	1
29.9078	1.3942488266087945	80.52088953469092	-1.32989	-1.9371	1.77925	-1.10675	1
20.9505	2.176811465819904	87.18771919929945	-1.99081	-2.18906	1.6418	-2.61202	1
30.1713	2.694044096600348	130.2150271696823	1.50806	0.578039	0.533369	-1.62984	1
27.7261	2.8400976834205474	95.84720524142683	-0.0747546	0.118398	-2.395	-1.9747	1
30.0002	2.7890775134879275	122.78513826363094	2.34446	1.5764	1.81194	-2.77961	1
23.9593	1.5370437243569226	84.93977953624203	-0.489881	-1.30863	-2.34691	1.03676	1
34.9312	1.9768562409608847	118.45946904550055	0.511104	0.099753	2.83736	0.432025	1
65.692	3.13624114031686	302.63123045798284	1.94653	1.3571	-1.03263	-0.974334	1
39.5108	2.5714246832372907	135.29860020809045	0.428819	1.06892	-3.05068	1.77412	1
30.6857	1.429505139069966	94.46155335178642	-1.14526	-1.29647	0.0814711	-2.30802	1
25.7871	2.5343621076653107	91.62789480294276	0.352638	-0.987349	-0.226523	2.31163	1
36.7027	2.1993263881506286	101.07556749855773	-1.01676	0.0201313	1.86561	-3.05136	1
29.5644	1.874143011955331	122.09341028222447	-2.09368	-2.10039	-2.94109	-0.691191	1
30.3798	0.8489287686700832	89.7398457307182	0.483301	0.0452747	0.540553	-2.49137	1
28.9198	1.5350376374763584	87.42268730457498	-1.63917	-1.07074	2.90776	-1.71736	1
23.1886	3.51898185992497	323.56269633494463	1.41276	-1.09666	-0.737742	0.506809	1
29.7583	1.3514217716141803	99.93848330461638	0.0244611	-0.379098	-0.0105601	1.09155	1
32.0673	1.6585328113980742	83.8897621323508	0.551377	0.608755	2.94916	1.10161	1
27.0489	2.2166432523331308	101.94686109183306	-1.44087	-0.456687	2.91946	2.08717	1
