isophoton_Eta	isophoton_Phi	jet1_Eta	jet1_Phi	jet2_Eta	jet2_Phi	R
0.214053	2.49454	-0.0143928	-0.208869	-0.115036	-1.73382	1.5282684993505689
1.07532	-2.77242	1.30359	-0.449611	0.691798	1.31142	1.8642745597751957
-1.14796	2.54396	-0.787717	0.477499	-0.61519	-1.41727	1.9026074553333383
-2.37336	1.11012	-0.952813	2.81707	-0.061371	-1.78392	1.9037988052472934
0.994138	0.0835122	1.87115	2.81197	2.2687	-1.66532	1.8491359774211447
2.05342	-1.56625	0.892856	2.08505	2.09205	-2.51157	2.0694368279843123
-0.985062	2.49808	-1.81533	-1.67793	-1.55911	-0.421844	1.2819519210157608
-1.7203	-2.76651	-1.73541	-0.798857	0.64749	2.37591	3.9166920714308397
0.708757	-0.48112	0.31667	2.32692	1.32786	-0.699088	3.1904905002466313
-0.307394	-1.61084	-0.744108	2.5957	-0.49101	1.21714	1.4016013239163265
-0.461377	2.53652	-0.197405	-1.63831	0.319957	0.730329	2.424482243978083
1.09583	-3.04158	0.00802905	-0.475817	-0.248898	1.21467	1.7098999404031519
1.61337	0.992576	1.91471	-3.00714	1.39375	-0.922377	2.1488685599098423
-0.35754	-1.57356	-0.67095	1.43795	-0.573299	0.916917	0.5301048055715022
-1.25646	1.37868	-1.73521	-1.17789	-0.858149	3.01317	2.2685291046539997
1.17804	0.506334	-0.13803	-0.603022	0.732105	-3.07156	2.6174061159225936
0.384092	0.239385	2.09199	0.909917	1.2483	-2.41937	3.072023441521634
0.0316433	0.85807	0.509579	-1.38905	-0.287939	-2.97433	1.7745837930974127
-1.07336	-2.77293	-1.40377	0.910487	-0.95294	-0.390526	1.3769104963900158
-0.553597	2.67229	-0.597177	0.279321	-0.583252	-1.22129	1.5006756075001686
-0.231056	0.660595	0.434487	2.29839	0.928782	-2.16354	1.8871402812072053
1.64319	0.561101	1.74008	2.26614	1.67458	-2.05042	1.9677157693221858
-1.94477	-1.01878	-1.56232	1.52541	-0.874777	2.70234	1.3630405723048011
-0.875509	0.359216	-0.890688	-1.97065	0.397999	-3.10601	1.717485520628631
