axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	b1_Eta	b1_Phi	b1_pT	b1_Px	b1_Py	b1_Pz	b1_E	b2_Eta	b2_Phi	b2_pT	b2_Px	b2_Py	b2_Pz	b2_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	deltaEta_b1_jet1	deltaPhi_b1_jet1	deltaEta_b1_jet2	deltaPhi_b1_jet2	deltaEta_b2_jet1	deltaPhi_b2_jet1	deltaEta_b2_jet2	deltaPhi_b2_jet2	deltaEta_jet1_jet2	deltaPhi_jet1_jet2	deltaR_b1_jet1	deltaR_b1_jet2	deltaR_b2_jet1	deltaR_b2_jet2	deltaR_jet1_jet2	deltaEta_b1_b2	deltaPhi_b1_b2	deltaR_b1_b2	invmass
-2.73282	0.859737	30.4289	19.859	23.0551	-232.951	239.202	-2.27381	-0.0950212	26.767	26.6462	-2.5396	-128.661	131.5	-2.0797	1.83001	26.4793	-6.78723	25.5947	-104.29	107.702	-1.97092	-2.69918	34.6068	-31.275	-14.8158	-121.78	126.602	-2.175	-0.138525	46.5289	46.0832	-6.4248	-202.135	207.421	-2.07385	1.85916	23.2202	-6.60339	22.2615	-90.9037	93.8225	-1.97535	-2.69711	34.0235	-30.7176	-14.6297	-120.281	125.0	-0.09881000000000029	0.04350380000000001	-0.19995999999999992	1.9541811999999998	0.09529999999999994	1.968535	-0.005849999999999689	0.02915000000000001	-0.10114999999999963	1.997685	0.10796294139398045	1.964384932754637	1.9708404644275497	0.029731212555158204	2.0002441555282693	-0.19411000000000023	1.9250311999999998	1.9347929638784196	103.78879376443243
-1.80998	0.785627	32.5038	22.9784	22.9889	-96.6443	111.45	-1.27113	0.0907136	32.4245	32.2911	2.93731	-53.2466	62.5191	-1.42693	2.00559	22.1087	-9.31274	20.0516	-43.3977	48.931	-0.991691	-2.1079	39.6147	-20.2688	-34.0368	-46.0489	60.744	-1.17886	0.0319466	33.3242	33.3072	1.06441	-49.0372	59.2887	-1.4904	2.05421	26.3507	-12.248	23.3312	-55.5154	61.4518	-0.976183	-2.10857	39.8028	-20.3881	-34.1846	-45.3266	60.3222	-0.09227000000000007	0.05876700000000001	0.21926999999999985	1.9634964	-0.24807	1.9736434000000003	0.06346999999999992	0.048619999999999663	0.31153999999999993	2.0222634	0.10939521556722677	1.9757017603152962	1.989172439800924	0.07995214381115716	2.046119847560147	0.15579999999999994	1.9148764000000003	1.9212041191078477	101.11207661906616
-1.28004	-1.0995	44.9243	20.3975	-40.0267	-74.5467	97.9813	-1.13163	-1.86397	31.2741	-9.03809	-29.9397	-43.4429	53.7349	-0.881098	-0.330139	31.1159	29.4356	-10.087	-31.1038	44.2463	-0.430594	2.39662	27.647	-20.3234	18.7434	-12.2759	30.2499	-1.15791	-1.80438	30.3759	-7.03092	-29.551	-43.576	53.1184	-0.93343	-0.341584	25.1431	23.6905	-8.42246	-27.0291	36.9154	-0.427997	2.39128	28.8788	-21.124	19.6916	-12.7409	31.5644	0.02628000000000008	0.05958999999999981	-0.19819999999999993	1.522386	0.27681199999999995	1.4742410000000001	0.052331999999999934	0.011444999999999983	-0.22448	1.462796	0.06512761702995114	1.5352336542025127	1.5000038031368454	0.05356889254968776	1.479920068117194	-0.25053199999999987	1.533831	1.5541569481828403	86.51825862928587
1.90338	-1.54551	43.5852	1.10202	-43.5713	142.947	156.072	1.78666	-2.11446	36.2513	-18.7518	-31.0247	105.164	111.336	1.25361	-0.563583	23.486	19.8538	-12.5466	37.783	44.7352	2.00184	1.80654	39.6296	-9.25618	38.5335	144.006	149.36	1.78497	-2.18083	31.1716	-17.8581	-25.5491	90.2665	95.4972	1.26383	-0.716876	25.6241	19.317	-16.8359	41.721	48.9616	2.01643	1.81165	37.9825	-9.06006	36.8861	140.124	145.181	0.0016899999999999693	0.06637000000000004	0.5228299999999999	1.3975839999999997	-0.53136	1.6172469999999999	-0.010220000000000118	0.153293	0.5211399999999999	1.4639539999999998	0.06639151301183009	1.4921770156238163	1.7023017677864873	0.15363330449157178	1.5539460137713919	0.53305	1.5508769999999998	1.63992736779072	98.78527105411229
-3.4039	-0.899382	36.874	22.9391	-28.8702	-553.995	557.042	-3.30906	-0.034158	26.1486	26.1333	-0.893007	-357.227	358.214	-2.64239	-1.68448	28.159	-3.19419	-27.9772	-196.768	198.828	-1.22881	-2.76885	15.3226	-14.2705	-5.58	-23.938	28.422	-3.33266	-0.0805134	27.7232	27.6334	-2.22968	-387.807	388.797	-2.60389	-1.64643	26.3032	-1.98745	-26.228	-176.788	178.734	-1.22455	-2.77298	15.4838	-14.4437	-5.57912	-24.0677	28.6182	0.023600000000000065	0.0463554	-0.7051700000000003	1.6122720000000001	0.6902700000000004	1.6039666	-0.03849999999999998	0.03804999999999992	-0.7287700000000004	1.5659166	0.05201714245477161	1.7597402452873552	1.7461905757435412	0.054129959357087934	1.7271944045345795	-0.6666700000000003	1.650322	1.7798908934493711	87.09822116465783
-2.65392	1.14263	29.8585	12.3973	27.1632	-211.088	217.888	-2.31791	1.99883	27.5986	-11.4557	25.1087	-138.765	141.561	-1.82502	0.0859173	23.9413	23.853	2.05444	-72.3232	76.3277	-0.91527	-1.44462	25.9083	3.26031	-25.7024	-27.1654	37.5394	-2.34558	1.92562	29.5306	-10.2596	27.6911	-152.725	155.554	-1.79176	-0.0139371	25.3383	25.3359	-0.353131	-73.9038	78.1268	-0.906079	-1.43164	25.492	3.53601	-25.2455	-26.3905	36.6919	0.027670000000000083	0.07321	-0.5261499999999999	2.0127671	0.5205599999999999	1.8397027000000001	-0.03326000000000007	0.0998544	-0.55382	1.9395571	0.07826450664253883	2.0804002550813174	1.9119332462163239	0.10524793964425148	2.017076680882611	-0.49288999999999983	1.9129127000000001	1.975392505281239	93.4442840560509
-0.478062	-1.14234	133.12	55.3073	-121.087	-66.0914	155.287	-0.508127	-1.40193	82.4169	13.8514	-81.2446	-43.7038	93.4059	-0.380144	-0.765549	57.4976	41.4559	-39.842	-22.3877	61.8811	-0.767779	-2.83817	19.5141	-18.6227	-5.83055	-16.4985	25.5539	-0.512096	-1.34214	95.6981	21.6915	-93.2073	-51.1767	108.523	-0.415545	-0.79107	59.5565	41.8732	-42.351	-25.4668	64.7729	-0.777697	-2.84486	18.8663	-18.0417	-5.51652	-16.1966	24.865	0.003969	0.05978999999999979	-0.092582	0.6108599999999998	0.131952	0.5765910000000001	0.035401000000000016	0.025521000000000016	-0.096551	0.5510700000000001	0.059921590941829764	0.6178360351452478	0.5914968398774418	0.04364117599240426	0.5594642441666849	-0.127983	0.6363809999999999	0.6491228123013394	93.1343639789719
1.10886	1.75321	33.8042	-6.13234	33.2434	45.6523	72.4686	0.724891	0.59282	23.0204	19.0924	12.8616	18.1876	29.7123	0.768867	2.46199	32.43	-25.2247	20.3818	27.4647	42.7563	1.24756	-0.756947	38.6554	28.1	-26.5449	61.7448	72.8468	0.771609	2.46297	23.2185	-18.0742	14.5748	19.7471	30.4803	0.733716	0.550512	22.9296	19.5419	11.995	18.3744	29.3834	1.24514	-0.756175	38.9594	28.3416	-26.7317	62.053	73.2694	-0.04671800000000004	1.8701499999999998	-0.008825000000000083	0.04230800000000001	-0.002742000000000022	0.0009799999999997588	0.03515099999999993	1.9114780000000002	0.037892999999999954	1.912458	1.8707334374581535	0.04321860119207935	0.002911866068348551	1.9118011761909242	1.9128333647270481	-0.043976000000000015	1.86917	1.8696872405501408	82.46739529814197
2.18765	1.0586	29.2958	14.3576	25.5362	128.931	139.659	1.83833	2.0295	25.7635	-11.4077	23.1003	78.9259	83.1574	1.41289	0.0942644	25.8802	25.7653	2.43597	50.0051	56.5012	2.11906	-2.06408	34.9759	-16.5617	-30.8062	143.456	147.658	1.38696	0.13139	23.4601	23.2578	3.07356	44.0206	49.8817	1.9112	2.09008	23.4013	-11.6132	20.3164	77.38	80.8411	2.12186	-2.06143	35.7872	-16.8625	-31.5655	147.209	151.496	0.45137000000000005	1.89811	-0.07286999999999999	0.060579999999999856	0.02593000000000001	0.03712560000000001	-0.49831000000000003	1.9958156	-0.52424	1.9586899999999998	1.9510398378813283	0.09476272104577824	0.045284380037271144	2.0570835581724336	2.027632632825779	0.42544000000000004	1.9352356000000002	1.9814479607366327	86.03643371606238
-0.831876	1.64386	41.3466	-3.01842	41.2363	-38.5018	72.2315	-0.723384	0.879007	31.2247	19.9188	24.0463	-24.6096	40.0338	-0.467452	2.49845	28.6637	-22.9372	17.1899	-13.8922	32.1977	-1.39898	-1.58688	38.6718	-0.621818	-38.6668	-73.5582	83.1042	-0.476372	2.4646	29.3202	-22.8539	18.3676	-14.5016	32.7104	-0.748471	0.862803	25.3567	16.4898	19.2627	-20.8011	32.7971	-1.40611	-1.58319	40.4669	-0.501659	-40.4638	-77.5944	87.5126	-0.247012	1.5855929999999998	0.02508699999999997	0.016203999999999996	0.008920000000000039	0.03385000000000016	0.281019	1.635647	0.272099	1.601797	1.6047180717474954	0.02986515000799424	0.03500555527341355	1.6596122399434152	1.624743516685018	-0.25593200000000005	1.619443	1.6395416490205428	103.0253776828987
