axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	b1_Eta	b1_Phi	b1_pT	b1_Px	b1_Py	b1_Pz	b1_E	b2_Eta	b2_Phi	b2_pT	b2_Px	b2_Py	b2_Pz	b2_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	deltaEta_b1_jet1	deltaPhi_b1_jet1	deltaEta_b1_jet2	deltaPhi_b1_jet2	deltaEta_b2_jet1	deltaPhi_b2_jet1	deltaEta_b2_jet2	deltaPhi_b2_jet2	deltaEta_jet1_jet2	deltaPhi_jet1_jet2	deltaR_b1_jet1	deltaR_b1_jet2	deltaR_b2_jet1	deltaR_b2_jet2	deltaR_jet1_jet2	deltaEta_b1_b2	deltaPhi_b1_b2	deltaR_b1_b2	invmass
-2.73282	0.859737	30.4289	19.859	23.0551	-232.951	239.202	-2.27381	-0.0950212	26.767	26.6462	-2.5396	-128.661	131.5	-2.0797	1.83001	26.4793	-6.78723	25.5947	-104.29	107.702	-1.97092	-2.69918	34.6068	-31.275	-14.8158	-121.78	126.602	-2.175	-0.138525	46.5289	46.0832	-6.4248	-202.135	207.421	-2.07385	1.85916	23.2202	-6.60339	22.2615	-90.9037	93.8225	-1.97535	-2.69711	34.0235	-30.7176	-14.6297	-120.281	125.0	-0.0988100000000002	0.0435038	-0.1999599999999999	1.9541812	0.0952999999999999	1.968535	-0.0058499999999996	0.02915	-0.1011499999999996	1.997685	0.1079629413939804	1.964384932754637	1.9708404644275497	0.0297312125551582	2.0002441555282693	-0.1941100000000002	1.9250312	1.9347929638784196	103.78879376443244
-1.80998	0.785627	32.5038	22.9784	22.9889	-96.6443	111.45	-1.27113	0.0907136	32.4245	32.2911	2.93731	-53.2466	62.5191	-1.42693	2.00559	22.1087	-9.31274	20.0516	-43.3977	48.931	-0.991691	-2.1079	39.6147	-20.2688	-34.0368	-46.0489	60.744	-1.17886	0.0319466	33.3242	33.3072	1.06441	-49.0372	59.2887	-1.4904	2.05421	26.3507	-12.248	23.3312	-55.5154	61.4518	-0.976183	-2.10857	39.8028	-20.3881	-34.1846	-45.3266	60.3222	-0.09227	0.058767	0.2192699999999998	1.9634964	-0.24807	1.9736434000000005	0.0634699999999999	0.0486199999999996	0.3115399999999999	2.0222634	0.1093952155672267	1.975701760315296	1.989172439800924	0.0799521438111571	2.046119847560147	0.1557999999999999	1.9148764000000005	1.9212041191078475	101.11207661906616
-1.28004	-1.0995	44.9243	20.3975	-40.0267	-74.5467	97.9813	-1.13163	-1.86397	31.2741	-9.03809	-29.9397	-43.4429	53.7349	-0.881098	-0.330139	31.1159	29.4356	-10.087	-31.1038	44.2463	-0.430594	2.39662	27.647	-20.3234	18.7434	-12.2759	30.2499	-1.15791	-1.80438	30.3759	-7.03092	-29.551	-43.576	53.1184	-0.93343	-0.341584	25.1431	23.6905	-8.42246	-27.0291	36.9154	-0.427997	2.39128	28.8788	-21.124	19.6916	-12.7409	31.5644	0.02628	0.0595899999999998	-0.1981999999999999	1.522386	0.2768119999999999	1.474241	0.0523319999999999	0.0114449999999999	-0.22448	1.462796	0.0651276170299511	1.535233654202513	1.5000038031368454	0.0535688925496877	1.479920068117194	-0.2505319999999998	1.533831	1.5541569481828403	86.51825862928587
1.90338	-1.54551	43.5852	1.10202	-43.5713	142.947	156.072	1.78666	-2.11446	36.2513	-18.7518	-31.0247	105.164	111.336	1.25361	-0.563583	23.486	19.8538	-12.5466	37.783	44.7352	2.00184	1.80654	39.6296	-9.25618	38.5335	144.006	149.36	1.78497	-2.18083	31.1716	-17.8581	-25.5491	90.2665	95.4972	1.26383	-0.716876	25.6241	19.317	-16.8359	41.721	48.9616	2.01643	1.81165	37.9825	-9.06006	36.8861	140.124	145.181	0.0016899999999999	0.06637	0.5228299999999999	1.3975839999999995	-0.53136	1.617247	-0.0102200000000001	0.153293	0.5211399999999999	1.4639539999999998	0.06639151301183	1.4921770156238163	1.7023017677864871	0.1536333044915717	1.553946013771392	0.53305	1.5508769999999998	1.63992736779072	98.78527105411229
-2.65392	1.14263	29.8585	12.3973	27.1632	-211.088	217.888	-2.31791	1.99883	27.5986	-11.4557	25.1087	-138.765	141.561	-1.82502	0.0859173	23.9413	23.853	2.05444	-72.3232	76.3277	-0.91527	-1.44462	25.9083	3.26031	-25.7024	-27.1654	37.5394	-2.34558	1.92562	29.5306	-10.2596	27.6911	-152.725	155.554	-1.79176	-0.0139371	25.3383	25.3359	-0.353131	-73.9038	78.1268	-0.906079	-1.43164	25.492	3.53601	-25.2455	-26.3905	36.6919	0.02767	0.07321	-0.5261499999999999	2.0127671	0.5205599999999999	1.8397027	-0.03326	0.0998544	-0.55382	1.9395571	0.0782645066425388	2.0804002550813174	1.911933246216324	0.1052479396442514	2.017076680882611	-0.4928899999999998	1.9129127	1.975392505281239	93.4442840560509
-0.478062	-1.14234	133.12	55.3073	-121.087	-66.0914	155.287	-0.508127	-1.40193	82.4169	13.8514	-81.2446	-43.7038	93.4059	-0.380144	-0.765549	57.4976	41.4559	-39.842	-22.3877	61.8811	-0.767779	-2.83817	19.5141	-18.6227	-5.83055	-16.4985	25.5539	-0.512096	-1.34214	95.6981	21.6915	-93.2073	-51.1767	108.523	-0.415545	-0.79107	59.5565	41.8732	-42.351	-25.4668	64.7729	-0.777697	-2.84486	18.8663	-18.0417	-5.51652	-16.1966	24.865	0.003969	0.0597899999999997	-0.092582	0.6108599999999998	0.131952	0.5765910000000001	0.035401	0.025521	-0.096551	0.5510700000000001	0.0599215909418297	0.6178360351452478	0.5914968398774418	0.0436411759924042	0.5594642441666849	-0.127983	0.6363809999999999	0.6491228123013394	93.1343639789719
1.10886	1.75321	33.8042	-6.13234	33.2434	45.6523	72.4686	0.724891	0.59282	23.0204	19.0924	12.8616	18.1876	29.7123	0.768867	2.46199	32.43	-25.2247	20.3818	27.4647	42.7563	1.24756	-0.756947	38.6554	28.1	-26.5449	61.7448	72.8468	0.771609	2.46297	23.2185	-18.0742	14.5748	19.7471	30.4803	0.733716	0.550512	22.9296	19.5419	11.995	18.3744	29.3834	1.24514	-0.756175	38.9594	28.3416	-26.7317	62.053	73.2694	-0.046718	1.87015	-0.008825	0.042308	-0.002742	0.0009799999999997	0.0351509999999999	1.911478	0.0378929999999999	1.912458	1.8707334374581537	0.0432186011920793	0.0029118660683485	1.911801176190924	1.912833364727048	-0.043976	1.86917	1.8696872405501408	82.46739529814197
2.18765	1.0586	29.2958	14.3576	25.5362	128.931	139.659	1.83833	2.0295	25.7635	-11.4077	23.1003	78.9259	83.1574	1.41289	0.0942644	25.8802	25.7653	2.43597	50.0051	56.5012	2.11906	-2.06408	34.9759	-16.5617	-30.8062	143.456	147.658	1.38696	0.13139	23.4601	23.2578	3.07356	44.0206	49.8817	1.9112	2.09008	23.4013	-11.6132	20.3164	77.38	80.8411	2.12186	-2.06143	35.7872	-16.8625	-31.5655	147.209	151.496	0.45137	1.89811	-0.0728699999999999	0.0605799999999998	0.02593	0.0371256	-0.49831	1.9958156	-0.52424	1.95869	1.9510398378813285	0.0947627210457782	0.0452843800372711	2.0570835581724336	2.027632632825779	0.42544	1.9352356	1.9814479607366329	86.03643371606238
-0.831876	1.64386	41.3466	-3.01842	41.2363	-38.5018	72.2315	-0.723384	0.879007	31.2247	19.9188	24.0463	-24.6096	40.0338	-0.467452	2.49845	28.6637	-22.9372	17.1899	-13.8922	32.1977	-1.39898	-1.58688	38.6718	-0.621818	-38.6668	-73.5582	83.1042	-0.476372	2.4646	29.3202	-22.8539	18.3676	-14.5016	32.7104	-0.748471	0.862803	25.3567	16.4898	19.2627	-20.8011	32.7971	-1.40611	-1.58319	40.4669	-0.501659	-40.4638	-77.5944	87.5126	-0.247012	1.5855929999999998	0.0250869999999999	0.0162039999999999	0.00892	0.0338500000000001	0.281019	1.635647	0.272099	1.601797	1.6047180717474954	0.0298651500079942	0.0350055552734135	1.6596122399434152	1.624743516685018	-0.255932	1.619443	1.6395416490205428	103.0253776828987
1.39412	2.8404	48.415	-46.2355	14.3629	91.5858	112.955	1.70682	-2.87902	27.3102	-26.3742	-7.08876	72.7815	77.8786	0.605539	2.31772	29.2343	-19.8614	21.4516	18.8044	35.0762	1.06359	1.00613	38.1364	20.408	32.2164	48.6535	61.8187	0.596106	2.32654	31.3157	-21.4772	22.7904	19.7928	37.0463	1.69134	-2.92071	25.7445	-25.119	-5.64041	67.4826	72.2266	1.06673	1.00392	37.3026	20.0315	31.4679	47.7796	60.6166	1.110714	1.077625307179586	0.0154799999999999	0.04169	0.009433	0.00882	-1.085801	1.044755307179586	-1.095234	1.035935307179586	1.5475664420211164	0.0444711873014427	0.0129140965227925	1.506810360822128	1.5075475035358796	1.101281	1.086445307179586	1.5469916762715774	86.90918634475817
