eventno	jetmultiplicity	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
469	2	1.48287	-2.25975	62.3178	-39.6175	-48.1037	130.2	144.422	1.13337	1.13669	60.4718	25.4346	54.8627	84.1815	103.757	1.24043	-0.444726	15.7111	14.1828	-6.75907	24.8851	29.4297	1.11429	0.962557	51.6036	29.4875	42.3487	70.1618	87.0954	1.74965	-1.97337	50.5056	-19.7877	-46.4679	140.879	149.659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13126	-0.431804	19.0611	17.3115	-7.97726	26.4658	32.6154	1	1	0	0	123.59113817850537	-0.6353599999999999	2.935927	3.0038890923149943
526	2	1.64302	-1.15828	38.4289	15.4068	-35.2053	95.6378	103.177	0.426798	2.20028	27.7028	-16.3094	22.3931	12.1858	30.6272	-0.426637	1.50046	12.844	0.902598	12.8122	-5.64747	14.0307	0.60761	2.00531	33.594	-14.142	30.4723	21.6914	39.9885	1.30108	-1.09224	32.9811	15.1876	-29.2761	56.0846	65.0633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157915	1.44239	23.2127	2.9725	23.0216	3.68089	23.5027	1	1	0	0	96.37628119681676	-0.69347	3.09755	3.1742269363421385
726	2	-1.79772	1.75038	51.7442	-9.24244	50.9121	-151.874	160.516	-1.2523	-1.35183	31.9501	6.94017	-31.1872	-51.3202	60.6355	0.419264	-1.4546	19.8588	2.30227	-19.7249	8.57215	21.6299	-1.82639	1.72042	39.8653	-5.94254	39.4199	-120.601	127.019	-1.32361	-1.28842	27.4133	7.63831	-26.3277	-47.8472	55.1439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.459507	-1.40483	19.3143	3.19074	-19.0489	9.19068	21.3895	1	1	0	0	126.53561401573673	-0.50278	3.00884	3.0505582889038525
842	2	-0.66291	-1.45064	40.6174	4.86878	-40.3245	-28.9416	50.0947	1.38854	2.49121	17.309	-13.7754	10.4804	32.5369	37.1529	-1.0292	1.28077	31.1448	8.90662	29.8441	-38.0208	49.1485	-0.539605	-1.43082	37.8983	5.28763	-37.5276	-21.4571	43.551	1.35732	2.56763	25.3646	-21.3001	13.7721	46.0168	52.5443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.818417	1.35674	38.1033	8.09426	37.2336	-34.7841	51.5926	1	1	0	0	146.50194613668415	-1.896925	2.284735307179586	2.969568972005533
1087	4	-1.29616	-1.07354	72.9167	34.7825	-64.0861	-123.29	143.315	0.0324492	1.89683	72.4421	-23.2024	68.6259	2.3511	72.6325	-0.892809	-2.76797	12.4382	-11.5801	-4.53981	-12.6402	17.7337	-1.3719	-1.08567	69.1956	32.2671	-61.2117	-127.639	145.189	-0.0488768	1.81115	47.2772	-11.254	45.9182	-2.31168	47.3337	2.97184	-2.46529	25.7636	-20.0929	-16.1258	250.894	252.213	-0.0535718	1.1191	24.8384	10.8418	22.3473	-1.33127	24.874	-0.669095	-2.79765	11.3399	-10.6757	-3.82379	-8.16639	13.9744	1	1	0	0	151.96181976839114	-1.3230232	-2.89682	3.1846438576610474
2393	2	0.804038	0.495107	34.1837	30.0789	16.2416	30.5437	46.0818	-1.71422	-2.9704	16.1927	-15.956	-2.75848	-43.4955	46.6492	0.673139	-2.37937	19.5256	-14.1229	-13.4831	14.1588	24.1189	0.800182	0.510799	34.1989	29.8335	16.7189	30.3805	45.7443	-1.32171	-2.778	29.6963	-27.755	-10.5609	-51.7185	59.6379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.584405	-2.43537	23.0782	-17.5583	-14.9769	14.2679	27.1326	1	1	0	0	131.1212747794194	2.121892	2.994386307179586	3.6699829722069013
3223	2	-0.0151991	-2.65389	23.9958	-21.1981	-11.2444	-0.364729	24.4545	2.5825	0.518364	5.77745	5.01847	2.86249	37.9999	38.7228	0.269136	0.477985	18.2219	16.1797	8.38191	4.96359	18.8859	0.237575	-2.69792	32.55	-29.3985	-13.9725	7.80601	33.4729	-0.414965	2.90989	23.8193	-23.1828	5.46977	-10.1703	25.8997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.202314	0.639665	12.169	9.76314	7.264	-2.47879	12.4189	1	1	0	0	57.40761944694364	0.65254	0.6753753071795865	0.9391167430878447
3654	2	-1.09948	0.974006	20.5315	11.5385	16.9825	-27.4049	34.5639	0.466373	0.668743	19.1425	15.0192	11.8683	9.2547	21.7755	-0.649427	-2.31483	39.2133	-26.5577	-28.8509	-27.2944	47.7773	0.0952008	0.90557	33.6547	20.7729	26.4787	3.2088	33.8073	-1.45762	0.535343	30.0334	25.8315	15.3211	-61.0118	68.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.188787	-2.39145	30.2672	-22.1433	-20.6344	-5.74806	30.8082	1	1	0	0	111.81542521470996	1.5528208	0.370227	1.5963459739171955
4921	2	-0.0989238	2.55945	49.9238	-41.7006	27.449	-4.94671	50.388	-1.01841	-0.824043	43.6389	29.6421	-32.0265	-52.5327	68.4553	-1.53818	0.362805	12.8981	12.0585	4.57751	-28.6423	31.4125	-1.13957	-0.855473	68.7267	45.0752	-51.8805	-96.4056	118.395	0.345375	2.08918	37.2186	-18.4411	32.3288	13.1115	39.4606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.60986	0.434443	12.799	11.61	5.38717	-30.7317	33.2904	1	1	0	0	147.89072031547178	-1.484945	-2.9446529999999997	3.297884616452492
5043	2	-0.919729	-2.40344	27.0426	-20.0038	-18.1976	-28.5298	39.5897	-4.08908	0.562156	16.063	13.591	8.56175	-479.226	479.518	-2.07315	0.983587	11.5747	6.41283	9.63581	-45.2805	46.7364	-1.3488	-2.80877	28.7468	-27.1693	-9.39204	-51.647	59.1083	-0.796963	-2.35825	28.574	-20.2463	-20.1634	-25.2608	38.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.9849	1.21086	10.1582	3.57787	9.50728	-36.2695	37.6652	1	1	0	0	55.39500094793302	-0.551837	-0.45052000000000003	0.7123849696400115
