eventno	jetmultiplicity	axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	Z_Eta	Z_Phi	Z_pT	Z_Px	Z_Py	Z_Pz	Z_E	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
228	2	-0.0342374	-0.864124	44.4921	28.889	-33.8375	-1.52359	63.3008	0.626346	-1.69763	10.4997	-1.32819	-10.4153	7.01494	102.475	0.0292153	-0.164584	33.8222	33.3652	-5.54149	0.988266	34.1615	-0.0875686	-1.72769	28.6478	-4.47614	-28.296	-2.51186	29.1393	0.221519	2.4822	38.2319	-30.2172	23.4221	8.53853	39.1738	-0.0143928	-0.208869	28.6807	28.0573	-5.94704	-0.412809	28.6837	-0.115036	-1.73382	23.2269	-3.76972	-22.919	-2.67784	23.3808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.214053	2.49454	37.8202	-30.1753	22.7995	8.15751	38.6899	1	1	0	0	90.21762513276815	0.1006432	1.524951	1.5282684993505689
436	2	1.38593	0.331321	34.5022	32.6258	11.2233	64.665	85.953	4.75121	-0.580954	1.86754	1.56115	-1.02495	108.052	140.702	1.21263	-0.445609	29.4907	26.6109	-12.7107	45.1933	54.1685	0.724074	1.32458	24.6783	6.01491	23.934	19.4717	31.7845	1.07803	-2.76602	33.3921	-31.0646	-12.2483	43.3868	54.7489	1.30359	-0.449611	26.0883	23.4955	-11.3383	44.4926	51.577	0.691798	1.31142	24.2104	6.20943	23.4006	18.117	30.2386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07532	-2.77242	33.6836	-31.4142	-12.1544	43.6158	55.1083	1	1	0	0	86.37933028049649	0.611792	-1.761031	1.8642745597751957
541	2	-0.961386	-0.893333	31.1332	19.5149	-24.2579	-34.7596	64.8188	-2.76071	-2.75976	10.7472	-9.97326	-4.00467	-84.6225	126.187	-0.632479	-1.50246	34.0534	2.32522	-33.9739	-23.003	41.3626	-0.56488	0.514456	19.7455	17.1897	9.716	-11.7566	23.4562	-1.1344	2.53976	35.7735	-29.4882	20.2533	-49.8629	61.3682	-0.787717	0.477499	35.7932	31.7896	16.4491	-31.2026	47.4843	-0.61519	-1.41727	30.5046	4.66493	-30.1458	-19.9725	36.4614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14796	2.54396	36.5321	-30.2	20.5561	-51.7744	63.3654	1	1	0	0	104.95613426131459	-0.17252699999999999	1.8947690000000001	1.9026074553333383
697	2	-0.682404	-2.49618	35.2896	-28.1911	-21.2278	-25.9948	62.8182	-2.18167	-2.77482	23.4119	-21.8548	-8.39555	-102.406	140.558	-0.0392828	-1.79958	28.4178	-6.44487	-27.6773	-1.11662	28.8255	-0.948195	2.85327	22.6824	-21.7462	6.44956	-24.8782	33.9928	-2.37688	1.11214	14.3114	6.33629	12.8322	-76.4116	77.7402	-0.952813	2.81707	26.9783	-25.5701	8.60228	-29.7751	40.1794	-0.061371	-1.78392	23.8601	-5.04668	-23.3203	-1.46524	23.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.37336	1.11012	14.3928	6.39836	12.8923	-76.5712	77.9121	1	1	0	0	89.16172236034697	-0.8914420000000001	1.6821953071795859	1.9037988052472934
1344	2	2.55101	-2.73263	31.3965	-28.8073	-12.4849	200.027	207.414	3.80363	-1.58662	10.4434	-0.165209	-10.4421	234.149	252.011	1.85123	2.80398	30.462	-28.7424	10.09	94.5941	99.489	2.24565	-1.57367	22.575	-0.0649769	-22.5749	105.433	107.925	1.00847	0.0712035	28.7149	28.6421	2.04288	34.1222	44.5967	1.87115	2.81197	29.2314	-27.6576	9.46191	92.6898	97.1899	2.2687	-1.66532	26.2553	-2.47796	-26.1381	125.544	128.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.994138	0.0835122	29.8721	29.768	2.49179	34.8362	45.8901	1	1	0	0	96.84853326863754	-0.39754999999999985	1.8058953071795862	1.8491359774211447
1394	3	1.298	2.2387	53.5379	-33.1583	42.0338	90.7174	114.546	2.17951	2.57372	39.2102	-33.0561	21.0887	171.13	197.642	0.918192	2.0993	56.0086	-28.2421	48.3668	58.9635	81.4601	2.08514	-2.23091	8.01723	-4.9162	-6.333	31.7539	33.0859	2.05495	-1.56592	20.9453	0.10217	-20.945	80.4125	83.0956	0.892856	2.08505	45.9664	-22.6101	40.0212	46.7159	65.5385	2.09205	-2.51157	34.6034	-27.96	-20.3872	138.034	142.305	1.38097	0.189272	22.9667	22.5565	4.32103	42.8035	48.5758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05342	-1.56625	20.6198	0.0936511	-20.6195	79.0378	81.6832	1	1	0	0	108.13378860372782	-1.1991939999999999	1.6865653071795865	2.0694368279843123
1497	3	-1.89046	-1.25607	53.1292	16.4463	-50.5196	-171.91	185.476	-2.42151	-1.66706	35.826	-3.44328	-35.6601	-200.161	223.086	-1.76286	-1.67926	45.8771	-4.96618	-45.6075	-129.776	137.727	-1.40632	-0.225498	21.9687	21.4125	-4.91202	-42.1342	47.7494	-0.975579	2.49995	24.8274	-19.8896	14.8594	-28.2502	37.6095	-1.81533	-1.67793	45.9977	-4.91846	-45.734	-137.54	145.028	-1.55911	-0.421844	24.9636	22.7751	-10.2212	-56.7206	61.971	-3.09487	1.29349	22.5367	6.16989	21.6757	-248.343	249.364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.985062	2.49808	24.5172	-19.6136	14.7104	-28.2507	37.4058	1	1	0	0	92.29413415742304	-0.2562200000000001	-1.2560859999999998	1.2819519210157608
1957	2	-1.81964	-0.766475	98.0025	70.5971	-67.9745	-294.378	313.509	-2.09092	-1.01559	90.4224	47.6637	-76.84	-360.28	383.848	-1.7499	-0.814551	100.351	68.8601	-72.9968	-279.989	297.466	-1.72173	1.2378	5.31419	1.73706	5.02228	-14.3893	16.0432	-1.71219	-2.77272	24.5874	-22.9334	-8.86542	-65.9016	70.3389	-1.73541	-0.798857	94.1992	65.7064	-67.4994	-258.808	275.418	0.64749	2.37591	82.8814	-59.7498	57.4394	57.494	100.871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7203	-2.76651	24.7989	-23.0748	-9.08499	-67.0463	71.4856	1	1	0	0	357.52661212241236	-2.3829	3.108418307179586	3.9166920714308397
2273	2	0.579953	2.60221	56.423	-48.4125	28.9792	34.5882	80.0346	1.59712	2.53422	24.7963	-20.3615	14.1515	58.7215	119.899	0.295779	2.29123	51.1867	-33.7684	38.4679	15.3617	53.6484	0.951583	-2.56666	17.4494	-14.644	-9.48868	19.2265	26.3862	0.701617	-0.486265	31.7288	28.0509	-14.8277	24.1334	39.864	0.31667	2.32692	62.8379	-43.1136	45.7146	20.2331	66.015	1.32786	-0.699088	42.3958	32.451	-27.2825	74.3607	85.5974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.708757	-0.48112	33.6568	29.836	-15.5755	25.9025	42.4702	1	1	0	0	150.90698419208434	-1.01119	3.026008	3.1904905002466313
2276	2	-0.73932	1.6801	54.2301	-5.91588	53.9065	-43.847	83.0103	-1.28552	1.80215	30.675	-7.03374	29.8577	-51.2278	108.191	-0.508004	1.15652	41.8775	16.8568	38.335	-22.2008	47.6308	-0.72063	2.54184	27.5874	-22.7727	15.5715	-21.6462	35.3796	-0.301966	-1.61725	24.0748	-1.11787	-24.0488	-7.38075	25.1807	-0.744108	2.5957	34.854	-29.7884	18.0955	-28.3956	44.9568	-0.49101	1.21714	29.8168	10.3265	27.9715	-15.2358	33.4839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.307394	-1.61084	23.9139	-0.957399	-23.8948	-7.46731	25.0527	1	1	0	0	84.80124677977616	-0.253098	1.3785599999999998	1.4016013239163265
